"";"vuosi";"atyyppi";"atyyppi_tp";"amma3";"N"
"438";1995;"tkakeskus";"kaup";"asiantuntijat";1078
"439";1995;"tkakeskus";"kaup";"tsto & aspal tt";379
"440";1995;"tkakeskus";"kaup";"pal, myynti & hoito tt";753
"441";1995;"tkakeskus";"kaup";"maanvil & metsä tt";71
"442";1995;"tkakeskus";"kaup";"rakennus tt";290
"443";1995;"tkakeskus";"kaup";"korj & valm tt";1086
"444";1995;"tkakeskus";"kaup";"pros tt";428
"445";1995;"tkakeskus";"kaup";"kulj tt";309
"446";1995;"tkakeskus";"kaup";"siivoojat & kettiö tt";126
"447";1995;"tkakeskus";"kaup";"muut tt";105
"448";1995;"tkakeskus";"kaup";NA;21
"449";1995;"tkakeskus";"tkakeskus";"sotilaat";1503
"450";1995;"tkakeskus";"tkakeskus";"johtajat";7801
"451";1995;"tkakeskus";"tkakeskus";"erityisasiantuntijat";34346
"452";1995;"tkakeskus";"tkakeskus";"asiantuntijat";44717
"453";1995;"tkakeskus";"tkakeskus";"tsto & aspal tt";28078
"454";1995;"tkakeskus";"tkakeskus";"pal, myynti & hoito tt";61976
"455";1995;"tkakeskus";"tkakeskus";"maanvil & metsä tt";19575
"456";1995;"tkakeskus";"tkakeskus";"rakennus tt";9051
"457";1995;"tkakeskus";"tkakeskus";"korj & valm tt";37298
"458";1995;"tkakeskus";"tkakeskus";"pros tt";24134
"459";1995;"tkakeskus";"tkakeskus";"kulj tt";15977
"460";1995;"tkakeskus";"tkakeskus";"siivoojat & kettiö tt";16483
"461";1995;"tkakeskus";"tkakeskus";"muut tt";6432
"462";1995;"tkakeskus";"tkakeskus";NA;4100
"463";1995;"tkakeskus";"yokaup";"sotilaat";145
"464";1995;"tkakeskus";"yokaup";"johtajat";234
"465";1995;"tkakeskus";"yokaup";"erityisasiantuntijat";1243
"466";1995;"tkakeskus";"yokaup";"asiantuntijat";1486
"467";1995;"tkakeskus";"yokaup";"tsto & aspal tt";523
"468";1995;"tkakeskus";"yokaup";"pal, myynti & hoito tt";912
"469";1995;"tkakeskus";"yokaup";"maanvil & metsä tt";69
"470";1995;"tkakeskus";"yokaup";"rakennus tt";442
"471";1995;"tkakeskus";"yokaup";"korj & valm tt";791
"472";1995;"tkakeskus";"yokaup";"pros tt";172
"473";1995;"tkakeskus";"yokaup";"kulj tt";456
"474";1995;"tkakeskus";"yokaup";"siivoojat & kettiö tt";337
"475";1995;"tkakeskus";"yokaup";"muut tt";153
"476";1995;"tkakeskus";"yokaup";NA;37
"477";1995;"tkakeskus";"pk";"sotilaat";33
"478";1995;"tkakeskus";"pk";"johtajat";434
"479";1995;"tkakeskus";"pk";"erityisasiantuntijat";823
"480";1995;"tkakeskus";"pk";"asiantuntijat";1429
"481";1995;"tkakeskus";"pk";"tsto & aspal tt";541
"482";1995;"tkakeskus";"pk";"pal, myynti & hoito tt";666
"483";1995;"tkakeskus";"pk";"maanvil & metsä tt";30
"484";1995;"tkakeskus";"pk";"rakennus tt";277
